"Libellé";"idBank";"Dernière mise à jour";"Période";"2024-05";"2024-04";"2024-03";"2024-02";"2024-01";"2023-12";"2023-11";"2023-10";"2023-09";"2023-08";"2023-07";"2023-06";"2023-05";"2023-04";"2023-03";"2023-02";"2023-01";"2022-12";"2022-11";"2022-10";"2022-09";"2022-08";"2022-07";"2022-06";"2022-05";"2022-04";"2022-03";"2022-02";"2022-01";"2021-12";"2021-11";"2021-10";"2021-09";"2021-08";"2021-07";"2021-06";"2021-05";"2021-04";"2021-03";"2021-02";"2021-01";"2020-12";"2020-11";"2020-10";"2020-09";"2020-08";"2020-07";"2020-06";"2020-05";"2020-04";"2020-03";"2020-02";"2020-01";"2019-12";"2019-11";"2019-10";"2019-09";"2019-08";"2019-07";"2019-06";"2019-05";"2019-04";"2019-03";"2019-02";"2019-01";"2018-12";"2018-11";"2018-10";"2018-09";"2018-08";"2018-07";"2018-06";"2018-05";"2018-04";"2018-03";"2018-02";"2018-01";"2017-12";"2017-11";"2017-10";"2017-09";"2017-08";"2017-07";"2017-06";"2017-05";"2017-04";"2017-03";"2017-02";"2017-01";"2016-12";"2016-11";"2016-10";"2016-09";"2016-08";"2016-07";"2016-06";"2016-05";"2016-04";"2016-03";"2016-02";"2016-01";"2015-12";"2015-11";"2015-10";"2015-09";"2015-08";"2015-07";"2015-06";"2015-05";"2015-04";"2015-03";"2015-02";"2015-01";"2014-12";"2014-11";"2014-10";"2014-09";"2014-08";"2014-07";"2014-06";"2014-05";"2014-04";"2014-03";"2014-02";"2014-01";"2013-12";"2013-11";"2013-10";"2013-09";"2013-08";"2013-07";"2013-06";"2013-05";"2013-04";"2013-03";"2013-02";"2013-01";"2012-12";"2012-11";"2012-10";"2012-09";"2012-08";"2012-07";"2012-06";"2012-05";"2012-04";"2012-03";"2012-02";"2012-01";"2011-12";"2011-11";"2011-10";"2011-09";"2011-08";"2011-07";"2011-06";"2011-05";"2011-04";"2011-03";"2011-02";"2011-01";"2010-12";"2010-11";"2010-10";"2010-09";"2010-08";"2010-07";"2010-06";"2010-05";"2010-04";"2010-03";"2010-02";"2010-01";"2009-12";"2009-11";"2009-10";"2009-09";"2009-08";"2009-07";"2009-06";"2009-05";"2009-04";"2009-03";"2009-02";"2009-01";"2008-12";"2008-11";"2008-10";"2008-09";"2008-08";"2008-07";"2008-06";"2008-05";"2008-04";"2008-03";"2008-02";"2008-01";"2007-12";"2007-11";"2007-10";"2007-09";"2007-08";"2007-07";"2007-06";"2007-05";"2007-04";"2007-03";"2007-02";"2007-01";"2006-12";"2006-11";"2006-10";"2006-09";"2006-08";"2006-07";"2006-06";"2006-05";"2006-04";"2006-03";"2006-02";"2006-01";"2005-12";"2005-11";"2005-10";"2005-09";"2005-08";"2005-07";"2005-06";"2005-05";"2005-04";"2005-03";"2005-02";"2005-01";"2004-12";"2004-11";"2004-10";"2004-09";"2004-08";"2004-07";"2004-06";"2004-05";"2004-04";"2004-03";"2004-02";"2004-01";"2003-12";"2003-11";"2003-10";"2003-09";"2003-08";"2003-07";"2003-06";"2003-05";"2003-04";"2003-03";"2003-02";"2003-01";"2002-12";"2002-11";"2002-10";"2002-09";"2002-08";"2002-07";"2002-06";"2002-05";"2002-04";"2002-03";"2002-02";"2002-01";"2001-12";"2001-11";"2001-10";"2001-09";"2001-08";"2001-07";"2001-06";"2001-05";"2001-04";"2001-03";"2001-02";"2001-01";"2000-12";"2000-11";"2000-10";"2000-09";"2000-08";"2000-07";"2000-06";"2000-05";"2000-04";"2000-03";"2000-02";"2000-01";"1999-12";"1999-11";"1999-10";"1999-09";"1999-08";"1999-07";"1999-06";"1999-05";"1999-04";"1999-03";"1999-02";"1999-01";"1998-12";"1998-11";"1998-10";"1998-09";"1998-08";"1998-07";"1998-06";"1998-05";"1998-04";"1998-03";"1998-02";"1998-01";"1997-12";"1997-11";"1997-10";"1997-09";"1997-08";"1997-07";"1997-06";"1997-05";"1997-04";"1997-03";"1997-02";"1997-01";"1996-12";"1996-11";"1996-10";"1996-09";"1996-08";"1996-07";"1996-06";"1996-05";"1996-04";"1996-03";"1996-02";"1996-01";"1995-12";"1995-11";"1995-10";"1995-09";"1995-08";"1995-07";"1995-06";"1995-05";"1995-04";"1995-03";"1995-02";"1995-01";"1994-12";"1994-11";"1994-10";"1994-09";"1994-08";"1994-07";"1994-06";"1994-05";"1994-04";"1994-03";"1994-02";"1994-01";"1993-12";"1993-11";"1993-10";"1993-09";"1993-08";"1993-07";"1993-06";"1993-05";"1993-04";"1993-03";"1993-02";"1993-01";"1992-12";"1992-11";"1992-10";"1992-09";"1992-08";"1992-07";"1992-06";"1992-05";"1992-04";"1992-03";"1992-02";"1992-01";"1991-12";"1991-11";"1991-10";"1991-09";"1991-08";"1991-07";"1991-06";"1991-05";"1991-04";"1991-03";"1991-02";"1991-01";"1990-12";"1990-11";"1990-10";"1990-09";"1990-08";"1990-07";"1990-06";"1990-05";"1990-04";"1990-03";"1990-02";"1990-01"
"Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France métropolitaine - Nomenclature Coicop : 02.1.2 - Vin et boissons fermentées";"001763945";"14/06/2024 08:45";"";"124.73";"124.15";"124.12";"124.07";"124.02";"123.13";"123.36";"122.84";"122.91";"123.37";"122.82";"122.73";"121.94";"121.15";"120.37";"119.75";"118.77";"117.15";"117.22";"115.85";"114.86";"114.89";"114.0";"113.17";"112.6";"111.45";"110.89";"110.02";"109.69";"108.83";"109.33";"108.42";"108.57";"108.91";"108.69";"108.69";"108.76";"108.58";"108.49";"108.68";"108.66";"107.77";"108.12";"107.65";"108.01";"108.32";"108.14";"107.91";"106.8";"106.45";"107.58";"107.78";"107.38";"106.91";"106.79";"106.68";"106.6";"106.86";"106.84";"106.71";"106.68";"106.41";"106.32";"106.25";"106.06";"105.92";"105.87";"105.54";"105.37";"105.13";"104.77";"104.41";"104.38";"103.84";"103.53";"103.45";"103.23";"102.86";"103.22";"102.85";"102.76";"102.78";"102.83";"102.42";"102.53";"102.28";"102.21";"102.1";"102.14";"101.73";"102.01";"101.85";"101.68";"101.98";"101.8";"101.82";"101.43";"101.28";"101.11";"101.09";"100.96";"100.63";"100.6";"100.21";"100.05";"100.28";"100.16";"100.02";"99.93";"99.85";"99.57";"99.41";"99.29";"98.79";"99.08";"98.69";"98.51";"98.55";"98.47";"98.37";"98.34";"98.15";"98.16";"97.65";"97.41";"96.74";"96.92";"96.52";"96.39";"96.54";"96.21";"96.07";"95.69";"95.43";"95.31";"94.94";"94.6";"94.25";"94.72";"94.47";"94.41";"94.47";"94.23";"93.94";"93.81";"93.48";"93.45";"93.48";"93.39";"92.9";"92.66";"92.36";"91.91";"92.04";"91.73";"91.37";"91.26";"90.69";"90.51";"90.46";"90.38";"90.07";"90.45";"90.31";"90.18";"90.52";"90.29";"90.13";"90.27";"90.11";"90.04";"90.14";"90.04";"89.62";"89.88";"89.9";"89.78";"89.99";"89.91";"89.44";"89.3";"89.03";"88.9";"88.62";"88.21";"87.79";"87.75";"87.32";"86.72";"86.77";"86.24";"86.03";"85.75";"85.58";"84.98";"84.52";"83.94";"83.27";"83.2";"82.73";"82.66";"82.7";"82.57";"82.47";"82.3";"82.11";"81.88";"81.85";"81.74";"81.62";"81.64";"81.54";"81.42";"81.48";"81.38";"81.22";"81.3";"81.18";"81.11";"81.22";"81.3";"81.03";"81.04";"81.13";"81.08";"81.18";"81.26";"81.28";"81.2";"81.34";"81.28";"81.39";"81.47";"81.31";"81.51";"81.51";"81.51";"81.7";"81.61";"81.41";"81.48";"81.24";"81.09";"80.71";"80.39";"80.04";"80.11";"79.99";"79.8";"79.73";"79.63";"79.51";"79.16";"79.02";"78.8";"78.67";"78.33";"78.09";"78.12";"78.05";"78.03";"77.98";"77.68";"77.58";"77.43";"77.15";"77.21";"77.22";"77.17";"77.08";"77.15";"77.1";"77.19";"77.14";"77.02";"76.9";"76.93";"76.94";"76.86";"76.7";"76.56";"76.3";"76.34";"76.24";"76.19";"76.11";"75.97";"75.87";"75.91";"75.76";"75.88";"75.67";"75.43";"75.2";"75.23";"75.04";"75.01";"75.1";"74.86";"74.7";"74.54";"74.26";"73.9";"73.6";"73.22";"72.73";"72.65";"72.45";"72.19";"72.07";"71.91";"71.66";"71.58";"71.34";"71.26";"71.0";"70.87";"70.74";"70.73";"70.65";"70.64";"70.62";"70.6";"70.6";"70.47";"70.48";"70.38";"70.38";"70.16";"69.69";"69.72";"69.71";"69.74";"69.77";"69.7";"69.59";"69.41";"69.34";"69.19";"68.96";"68.91";"68.58";"68.6";"68.51";"68.38";"68.05";"67.45";"67.26";"67.06";"66.93";"66.87";"66.66";"66.35";"66.12";"66.25";"66.2";"66.2";"66.27";"66.23";"66.16";"66.0";"66.03";"66.1";"66.09";"66.0";"65.61";"65.88";"65.99";"66.18";"66.31";"66.36";"66.34";"66.51";"66.71";"66.86";"66.96";"66.98";"67.13";"67.2";"67.33";"67.29";"67.31";"67.2";"67.11";"66.91";"66.76";"66.56";"66.25";"66.03";"65.73";"65.6";"65.41";"65.14";"64.97";"64.81";"64.69";"64.28";"63.94";"63.61";"63.23";"62.89";"62.65";"62.58";"62.25";"61.98";"61.69";"61.43";"61.11";"60.73";"60.37";"59.8";"59.06";"58.57"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
