Name,EcoScore,Countries,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9,Category_10,Category_11,Category_12,Category_13,Category_14,Category_15,Category_16,Category_17
Vin,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Rosé 2021,34,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés,Vin rosé 11°,Corse,,,,,,,,,,
Côtes de Bergerac Moelleux AOC,44,['en:france'],Vin blanc à 11°,Vins blancs,,,,,,,,,,,,,,,
Gamay Jongieux,32,['en:france'],Vins rouges,,,,,,,,,,,,,,,,
"Champagne, grande cuvée",23,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes,Champagnes bruts,,,,,,,,,,,
Bi metifiot,60,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs,Alpilles,,,,,,,,,,,
La combe des Avaux,65,['en:france'],Boissons et préparations de boissons,Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône,,,,,,,,,,,
Rasteau,48,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux,Vins mutés de type vin doux naturel,Vins français,Rasteau,,,,,,,,,
,,['en:france'],Vins italiens,,,,,,,,,,,,,,,,
Champagne,23,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes,,,,,,,,,,,,
Valpolicella Doc Villa Mura,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Champagne,23,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes,,,,,,,,,,,,
Crémant de Die,65,['en:france'],Boissons et préparations de boissons,Boissons,Boissons alcoolisées,Vins,Vins français,,,,,,,,,,,,
Poignée de raisins,51,['en:france'],Côtes du Rhône,Vins rouges,,,,,,,,,,,,,,,
Vin Saint-Pourçain,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Saint-Pourçain,,,,,,,,,,,
Valpolicella Doc Villa Mura,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Crémant de Die,65,['en:france'],Boissons et préparations de boissons,Boissons,Boissons alcoolisées,Vins,Vins français,,,,,,,,,,,,
Poignée de raisins,51,['en:france'],Côtes du Rhône,Vins rouges,,,,,,,,,,,,,,,
La sagesse,37,['en:france'],Vins rouges,,,,,,,,,,,,,,,,
La vie on y est,47,['en:france'],Boissons et préparations de boissons,Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône,Vins blancs,,,,,,,,,,
"Perl, vino Sudtirol AltoAdige",22,"['en:france', 'en:italy']",Boissons et préparations de boissons,Boissons,Boissons alcoolisées,Vins,Vins rouges,Vin rouge à 13°,,,,,,,,,,,
Champagne veuve ėmille,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents,Champagnes,Champagnes français,Champagnes bruts,,,,,,,,,
Pécharmant,37,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,,,,,,,,,,,,,
Coteaux d'ancenis,42,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Vin Saint-Pourçain,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Saint-Pourçain,,,,,,,,,,,
Champagne,23,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes,,,,,,,,,,,,
Champagne,23,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes,,,,,,,,,,,,
Vins,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Corbières,,,,,,,,,,,,
Vin rouge AOP Côtes du Rhone Le Bois des Grives,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône,,,,,,,,,,,,
Vin rouge,27,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Rasteau,48,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux,Vins mutés de type vin doux naturel,Vins français,Rasteau,,,,,,,,,
,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Sauvignon desalcolisé,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Cremant de bourgogne Charles de fère Grande cuvée brut,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bourgogne,Vins effervescents,Crémant de Bourgogne,,,,,,,,,,
Bi metifiot,60,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs,Alpilles,,,,,,,,,,,
Saumur Champigny,47,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Saumur-Champigny,,,,,,,,,,,,
vin rouge Koitoubiia,22,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,Vin rouge à 13°,,,,,,,,,,,,
DOMAINE LES PINS les Rochettes,46,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs,Bourgueil,Domaine les pins,,,,,,,,,,
Seigneur de Gaillac 2022,25,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rosés,,,,,,,,,,,,,
,37,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Vin rouge,22,"['en:france', 'en:italy']",Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Cuvée Charlemagne Merlot,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Château laur malbec,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Saint-Joseph 2021,31,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Saint-Joseph,,,,,,,,,,,
Vin blanc doux,36,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins blancs,Vin blanc à 11°,,,,,,,,,,,,
Rosé d’Anjou AOC,38,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés,Vin rosé 11°,Anjou,Cabernet d'Anjou,Rosé d'Anjou,,,,,,,,
vin rouge cotes du rhone,47,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône,Vin cotes du rhone,,,,,,,,,,,
Cotes du rhone villages bio,47,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône,Côtes du Rhône Villages,,,,,,,,,,,
Bernard Remy Brut Champagne 750 ML,23,"['en:france', 'en:germany']",Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes,,,,,,,,,,,,
Chateau galan,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Lindemans Shiraz,,"['en:france', 'en:germany', 'en:united-kingdom']",Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Fine Calvados Père Chanau Appellation d'Origine ContrôléeInspiré de la tradition Normande,48,"['en:france', 'en:world']",Boissons,Boissons alcoolisées,Boissons distillés,Vins,Alcools forts,Eaux-de-vie,Vins français,Eaux-de-vie françaises,Calvados,,,,,,,,
Pineau des Charentes Excellence Rouge,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins français,Mistelle,Pineau des Charentes,,,,,,,,,,
Rosé,28,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rosés,Vin rose espagnol,,,,,,,,,,,,
Vin les vignes de malle,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Corbarol,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Vin château lieujean,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Saint emilion,31,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Bordeaux,Saint-émilion,Saint-émilion grand cru,,,,,,,,,
Vin,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Domaine Petroni,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,,,,,,,,,,,,,
BDX Rose Baron De Lestac 10 75CL,37,"['en:france', 'en:reunion']",Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux,,,,,,,,,,,,
Vasco s porto rouge 19.5d 75cl,,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins de cuisine,,,,,,,,,,,,,
Vasco s porto blanc 19.5d 75cl,,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins de cuisine,,,,,,,,,,,,,
Champagne cuvee nicolas,,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,,,,,,,,,,,,,
Blanc sec,37,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Côtes de Gascogne,,,,,,,,,,,,
Vin,47,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Côtes de Thongue,,,,,,,,,,,,
Clairette de Die,35,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents,Clairette de Die,,,,,,,,,,,
,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux,,,,,,,,,,,,
Rotwein,22,"['en:france', 'en:germany']",Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Blanc sec,37,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Côtes de Gascogne,,,,,,,,,,,,
Clairette de Die,35,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents,Clairette de Die,,,,,,,,,,,
Bergerac rosé,34,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rosés,,,,,,,,,,,,,
,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux,,,,,,,,,,,,
Rosé,25,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rosés,,,,,,,,,,,,,
Vin,,['en:france'],Boissons,Boissons alcoolisées,Vins,Sylvaner,,,,,,,,,,,,,
mille et une fleurs,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs,Merlot,Sémillion,,,,,,,,,,
Vin château rampeau,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Vin,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
12 meses en barrica 2011,22,"['en:france', 'en:spain']",Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Vin rosé AOC Bergerac Fonsecoste,42,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bergerac,,,,,,,,,,,,
Vin vieilles vignes gewurztraminer,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,,,,,,,,,,,,,
Château malausanne,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,,,,,,,,,,,,,
Les Nouguets,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux,Vins du Médoc,Saint-Estèphe,,,,,,,,,,
,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Sangria rosé,19,['en:france'],Boissons,Boissons alcoolisées,Vins,Boissons alcoolisées pré-mélangées,Boissons alcoolisées à base de vin,Sangria,,,,,,,,,,,
Le Bourru,37,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,,,,,,,,,,,,,
Bleu Blanc Thau  côte de thau Florès,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,,,,,,,,,,,,,
Vin,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Walfberger vin,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux,,,,,,,,,,,,
Vin italien,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Bourgogne Hautes-Côtes De Nuits,52,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bourgogne,,,,,,,,,,,,
,34,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés,Côtes de Gascogne,,,,,,,,,,,
Château la tuilerie,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
chateau montfollet,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Vin rouge,22,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Côtés du rhone,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône,,,,,,,,,,,,
,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Rouge,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône,Côtes du Rhône Villages,Valréas,,,,,,,,,,
Côté  du Rhône,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône,,,,,,,,,,,,
LE NAT’rouge,56,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,Vin rouge sans sulfites,,,,,,,,,,,,
Blanc de blancs,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
crémant d’Alsace,47,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Crémant d'Alsace,,,,,,,,,,,,
Vieux Carion Chardonnay,42,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs,,,,,,,,,,,,
Bio Domaine Bassac Je T'aime,60,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Côtes de Thongue,,,,,,,,,,,,
ERREUR_IMAGES,38,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rosés,,,,,,,,,,,,,
Le Spritz BIO By,60,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes,Vins mousseux,,,,,,,,,,,
Champagne Lanson Black label brut,32,"['en:france', 'en:united-kingdom']",Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents,Champagnes,Champagnes français,Champagnes bruts,,,,,,,,,
,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
,,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,,,,,,,,,,,,,
Cabernet d'anjou,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Cabernet d'Anjou,,,,,,,,,,,,
,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins français,Mistelle,Pineau des Charentes,,,,,,,,,,
Instant rosé,25,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rosés,,,,,,,,,,,,,
Vin biologique,50,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Corsé,9,"['en:france', 'en:world']",Aliments et boissons à base de végétaux,Boissons,Aliments d'origine végétale,Boissons alcoolisées,Vins,Boissons chaudes,Vins français,Cafés,Dosettes,Cafés en dosettes,Cafés en dosettes compatible Senseo,Corse,,,,,
Chateau Rampeau,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Cabernet d’Anjou,37,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Cabernet d'Anjou,,,,,,,,,,,,
Rosé d'Anjou,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Rosé d'Anjou,,,,,,,,,,,,
Vin rosé,25,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rosés,,,,,,,,,,,,,
Vin Blanc,23,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins blancs,,,,,,,,,,,,,
Corsé,42,"['en:france', 'en:world']",Aliments et boissons à base de végétaux,Boissons,Aliments d'origine végétale,Boissons alcoolisées,Vins,Vins français,Cafés,Corse,,,,,,,,,
Champagne,23,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes,,,,,,,,,,,,
Lidl côté de gascogne,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,,,,,,,,,,,,,
Vin pétillant au lychee,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Castel de Paolis,25,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rosés,,,,,,,,,,,,,
Rosé d'Anjou,37,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Rosé d'Anjou,,,,,,,,,,,,
Braceret-roy,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,,,,,,,,,,,,,
Vin rouge la cuvée des vendangeurs,22,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Vino blanco solo grados de alcohol cataluña,23,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins blancs,,,,,,,,,,,,,
Muscat de Rivesaltes Pierre Chanau,48,"['en:france', 'en:world']",Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux,Vins mutés de type vin doux naturel,Muscats,Muscat de Rivesaltes,,,,,,,,,
Pineau des Charentes blanc 17% - Appellation Pineau des Charentes Contrôlée,32,"['en:france', 'en:world']",Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins français,Mistelle,Vins de cuisine,Pineau des Charentes,,,,,,,,,
Pineau des charentes blanc Excellence,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins français,Vins blancs,Mistelle,Pineau des Charentes,,,,,,,,,
Champagne,36,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes,,,,,,,,,,,,
Vin Saint-Amour,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Saint-Amour,,,,,,,,,,,,
Champagne cuvee variation,,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,,,,,,,,,,,,,
Apéritif au quinquina Duhomard Rouge,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes,Vins mousseux,,,,,,,,,,,
Le Spritz BIO By,60,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes,Vins mousseux,,,,,,,,,,,
Le Limé BIO By,60,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes,Vins mousseux,,,,,,,,,,,
Le Limé BIO By,60,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes,Vins mousseux,,,,,,,,,,,
Apéritif aromatisé Duhomard Cerise,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes,Vins mousseux,,,,,,,,,,,
Apéritif au quinquina Duhomard Blanc,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes,Vins mousseux,,,,,,,,,,,
Cabernet d'anjou,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Cabernet d'Anjou,,,,,,,,,,,,
Château le grand verdus,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux,Bordeaux supérieur,,,,,,,,,,,
Champagne Jacques Chaput -  Brut Tradition,33,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes,,,,,,,,,,,,
Rosé Bandol,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bandol,,,,,,,,,,,,
Château Taillefer POMEROL,31,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Bordeaux,Pomerol,,,,,,,,,,
Vin,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Vin d'Ariège IGP Rosé,39,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rosés,,,,,,,,,,,,,
menopolleb minceur,47,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux,Vins du Médoc,Médoc,,,,,,,,,,
Porto AGUILA Tawny,26,"['en:france', 'en:world']",Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux,Vins mutés de type vin doux naturel,Vins portugais,Porto,Vins de cuisine,,,,,,,,
Effervescente,,['en:france'],Boissons,Boissons alcoolisées,Vins,Boissons instantanées,Vins effervescents,,,,,,,,,,,,
vins AOC Clairette de Die Tradition,50,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents,,,,,,,,,,,,
,34,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,,,,,,,,,,,,,
Île de beauté,37,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Île de Beauté,,,,,,,,,,,,
cuvée sainte Alice,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,,,,,,,,,,,,,
cuvée sainte Alice,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,,,,,,,,,,,,,
Île de beauté,37,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Île de Beauté,,,,,,,,,,,,
,22,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Rosé,47,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés,Vin rosé 11°,,,,,,,,,,,
Vin,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Languedoc,34,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Languedoc,,,,,,,,,,,,
Virgin pinot,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Le Mas Saint Martin,31,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Vin rosé,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Côtes de Provence,,,,,,,,,,,,
Cambon la pelouse,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Champagne cuvee imagine,,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,,,,,,,,,,,,,
La petite fessardiere,52,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Muscadet-Sèvre et Maine,,,,,,,,,,,,
muscat de Lunel Pierre Chanau,35,"['en:france', 'en:world']",Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux,Vins mutés de type vin doux naturel,Vins français,Muscats,Muscat de Lunel,,,,,,,,
Pineau des Charentes rouge 17% - Appellation Pineau des Charentes Contrôlée,32,"['en:france', 'en:world']",Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins français,Mistelle,Pineau des Charentes,Vins de cuisine,,,,,,,,,
Comté Tolosan rosé,42,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Comté Tolosan,,,,,,,,,,,,
,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,,,,,,,,,,,,,
Château la fontaine st justin,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,,,,,,,,,,,,,
Grand vin,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Pétillant de pomme framboises,,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,Vins pétillant,,,,,,,,,,,,
Hypocras des Vieilles Terres,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,,,,,,,,,,,,,
Didier Barbe,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Pinot gris d’Alsace,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vin d'Alsace,,,,,,,,,,,,
Rosé,25,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rosés,,,,,,,,,,,,,
cinsault pays d'oc,47,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés,Pays d'Oc,,,,,,,,,,,
Rosé garcia,62,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés,,,,,,,,,,,,
Pétillant des Monédières,,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,Vins pétillant,,,,,,,,,,,,
Brézème,22,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Bourgueil,42,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bourgueil,,,,,,,,,,,,
Rosé d’eté,47,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés,Alsace,,,,,,,,,,,
vin d'Alsace Gewurztraminer,34,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vin d'Alsace,,,,,,,,,,,,
Vin rosé,25,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rosés,,,,,,,,,,,,,
Vin,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Saint-Émilion,31,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Rosé Sable de Camargue Bio,47,['en:france'],Boissons,Boissons alcoolisées,Snacks,Snacks sucrés,Vins,Biscuits et gâteaux,Vins français,Pâtisseries,Roses des sables,Sable de Camargue,,,,,,,
"Domaine Emile Chupin, Croix de la varenne",32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,,,,,,,,,,,,,
Muscat petit grains,26,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux,Vins mutés de type vin doux naturel,Muscats,,,,,,,,,,
Vin,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Crémant de Bourgogne brut rosé AOP Louis Villot 12°,37,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bourgogne,Vins effervescents,Crémant de Bourgogne,,,,,,,,,,
Vin rosé,25,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rosés,,,,,,,,,,,,,
Vin d'alsace,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vin d'Alsace,,,,,,,,,,,,
S. Orsola Montepulciano D'abruzzo,,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins italiens,it:Montepulciano d'Abruzzo,,,,,,,,,,,,
Topaze,50,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Rosé,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,,,,,,,,,,,,,
Haute cotes de nuits,37,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,,,,,,,,,,,,,
Terres du Midi,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Muscadet Sèvre et Maine Sur Lie,37,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Muscadet-Sèvre et Maine,,,,,,,,,,,,
Cabernet Sauvignon,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Pays d'Oc,Cabernet-sauvignon,,,,,,,,,,
Vin MAS OLIVIER FAUGÈRES,31,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,,,,,,,,,,,,
Vin rosé Moelleux,37,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rosés,,,,,,,,,,,,,
Vin Rosé pamplemousse,25,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rosés,,,,,,,,,,,,,
Bordeaux,37,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux,,,,,,,,,,,,
Vin d'Espagne rosé CHASTAGNAC,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Porto tawny 10 ans d'âge Vieilli en fûts de chêne,39,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux,Vins mutés de type vin doux naturel,Vins portugais,Vins rouges,Porto,Porto rouges,Portos oxydatifs,Porto Tawny,,,,,
Corbières,60,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Corbières,,,,,,,,,,,,
Vin rouge,35,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
LaCheteau,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Crémant de Loire,,,,,,,,,,,,
duc de charmeuil,,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,Vins mousseux,,,,,,,,,,,,
Vin,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
