Name,EcoScore,Countries,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9,Category_10,Category_11,Category_12,Category_13,Category_14,Category_15,Category_16,Category_17
Billette,47,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés,Côtes de Provence,,,,,,,,,,,
Porto tawny 75cl,39,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux,Vins mutés de type vin doux naturel,Vins portugais,Porto,,,,,,,,,
Vin d'Alsace Riesling,34,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs,Vin d'Alsace,,,,,,,,,,,
Grenache Cinsault Pays D'Oc,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Pays d'Oc,,,,,,,,,,,,
Grain d’Envie Syrah,,['en:france'],Boissons,Boissons alcoolisées,Vins,Boissons sans alcool,Vins sans alcool,,,,,,,,,,,,
Vin,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Muscador rosé,38,"['en:france', 'en:germany']",Boissons,Boissons alcoolisées,Vins,Vins effervescents,Vins rosés,Vins mousseux,,,,,,,,,,,
Nicolas Feuillatte,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents,Champagnes,Champagnes français,Champagnes bruts,,,,,,,,,
Malesan Rouge,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Bordeaux,,,,,,,,,,,
Vin de bordeaux,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Bordeaux,,,,,,,,,,,
Côtes de Thau,33,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Côtes de Thau,,,,,,,,,,,,
"Muscat de Rivesaltes 15,5 °",40,"['en:france', 'en:germany']",Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux,Vins mutés de type vin doux naturel,Vins français,Muscats,Muscat de Rivesaltes,,,,,,,,
Vino tinto cabernet sauvignon,37,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,Cabernet Sauvignon,,,,,,,,,,,,
Bordeaux Superieur (Appellation d'Origine Protégée),45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux,Bordeaux supérieur,,,,,,,,,,,
Corsé,47,['en:france'],Aliments et boissons à base de végétaux,Boissons,Aliments d'origine végétale,Boissons alcoolisées,Vins,Boissons chaudes,Vins français,Cafés,Corse,,,,,,,,
Vin de Bordeaux,43,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux,,,,,,,,,,,,
