Name,EcoScore,Category_1,Category_2,Category_3,Category_4,Category_5
"Porto,",39.0,Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux
Pineau des Charentes,32.0,Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins français
Saint emilin grand cru,,Boissons,Boissons alcoolisées,Vins,,
Champagne CHARLES VINCENT BRUT,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents
Grande Récolte - Côtes de Provence,47.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
Cabern.anjou Rose E.club,42.0,Boissons,Boissons alcoolisées,Vins,Vins français,
Cabernet d'Anjou 2015,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Cabernet d'Anjou
Nos racines -vin bio- côtes de Bordeaux,46.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Blanc saveur zeste de citron vert,,Boissons,Boissons alcoolisées,Vins,Vins aromatisés,
Vin Blanc,37.0,Boissons,Boissons alcoolisées,Vins,Vins blancs,
Pommery Champagne,23.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes
Vin rouge,27.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Champagne Blue Top Brut,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents
Rosé pamplemousse,47.0,Boissons,Boissons alcoolisées,Vins,Vins rosés,
Monbazillac Sélection d'automne,34.0,Boissons,Boissons alcoolisées,Vins,Vins français,Monbazillac
Vin blanc,37.0,Boissons,Boissons alcoolisées,Vins,Vins blancs,
Gewurztraminer 2012,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
Rosé pamplemousse,38.0,Boissons,Boissons alcoolisées,Vins,Vins rosés,Vins aromatisés
Bordeaux AOC 2011 Bio Large Malartic,58.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Rosé d'Anjou,42.0,Boissons,Boissons alcoolisées,Vins,Vins français,Rosé d'Anjou
Pétillant de Listel Framboise,,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Vins pétillant
"Champagne AOP, brut",36.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes
Monbazillac A.O.C. 2017,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Monbazillac
Côtes du Rhône - &quot;les Pierrasques&quot;,36.0,Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône
