Name,EcoScore,Category_1,Category_2,Category_3,Category_4,Category_5
Vin de Bordeaux,37.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux
Beaujolais nouveau,36.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Solar 6,57.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Chardonnay La croix du pin.,34.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bourgogne
"Jurançon 2007, Vin Blanc Doux, La Bouteille De 75cl",32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Jurançon
Grenache,,Boissons,Boissons alcoolisées,Vins,,
Lichette Blanc,45.0,Boissons,Boissons alcoolisées,Vins,Vins blancs,
Sauvignon Ardèche Blanc,37.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
75CL Vin De Pays Cotes De Gascogne Blanc Sauvignon Chenet,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Côtes de Gascogne
Terra Vecchia,27.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Bordeaux Graves,36.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Château Fontana Bordeaux 2017,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
Haut Médoc 2011,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Graves 2014,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Vin rosé des Pays du Var 2015 - Restanques,38.0,Boissons,Boissons alcoolisées,Vins,Vins rosés,
Rosé de pressée Côtes de Gascogne,47.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
Bordeaux supérieur 2014,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux
Méditerranée,47.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
Blaye Côtes de Bordeaux 2015,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux
La Balade de Coline Viognier 2015,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vaucluse
Gotim Bru 2012,,Boissons,Boissons alcoolisées,Vins,Vins espagnols,Costers del Segre
Muscadet Serve-et-Maine,,Boissons,Boissons alcoolisées,Vins,,
"Gallo Family, Zinfandel 2011",41.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,Vins américains
Saint Bris Mont Embrasé,60.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
Pays d'Oc Cabernet Sauvignon 13°,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Pays d'Oc
Bougogne grand ordinaire 2015,35.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,Bourgogne Grand-Ordinaire
Chinon 2014,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Entre-deux-mers,36.0,Boissons,Boissons alcoolisées,Vins,Vins blancs,
Vin rouge Merlot IGP Pays d'Oc,60.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Château Garineau 2012,47.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux
Bianco,36.0,Boissons,Boissons alcoolisées,Vins,Vins blancs,Vins aromatisés
Champagne Mathieu-Princet,45.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes
Corbières,35.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Valestrel Côtes de Provence millésime 2020,46.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
classique du Lubéron,,Boissons,Boissons alcoolisées,Vins,,
Moët & Chandon Impérial Brut (Jéroboam),36.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes
Muscat Sèvre et Maine sur lie 2019,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
prosecco,,Boissons,Boissons alcoolisées,Vins,Vins italiens,Prosecco
Château les aubastons,,Boissons,Boissons alcoolisées,Vins,,
Vin Rouge,22.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Profil muscat doux,41.0,Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux
Le tonnelier vin rouge,22.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Vin rouge Merlot,22.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Bordeaux Supérieur - 2015,43.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux
Crémant de Loire Brut A.O.C.,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Crémant de Loire
Moscato,,Boissons,Boissons alcoolisées,Vins,Vins italiens,Moscato
Vin rouge bio,22.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Saumur Champigny 2010,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Solar 6,60.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
Côtes du Rhône Prestige 2014,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône
"Polvanera 14 Gioia Del Colle 75CL 14,5%",,Boissons,Boissons alcoolisées,Vins,,
Igp mediterranee bib,25.0,Boissons,Boissons alcoolisées,Vins,Vins rosés,
Graves AOC Rouge,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
Vin rosé Les Oliviers Côtes de Provence,37.0,Boissons,Boissons alcoolisées,Vins,Vins français,Côtes de Provence
Vin saint Chinian,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Saint-Chinian
Champagne - cuvée Charles VII,43.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents
Padulone,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
prosecco superiore DOCG,,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Vins italiens
"E. Durenmeyer,Carrefour,CMI",45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Boissons sans sucre ajouté
Fitou - 2014,34.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Rose D'anjou Club Des Sommeliers Rose 2007 75cl,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Rosé d'Anjou
réserve du couvent,35.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,Vins du Liban
Vin Bordeaux Chateau de Lagarde,47.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux
Cahors 2013,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins de Cahors
Fitou,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Fitou
Primitivo Salento 2021,,Boissons,Boissons alcoolisées,Vins,,
crémant-de-bourgogne,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bourgogne
Champagne brut - grande tradition,23.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes
Mia rose,,Boissons,Boissons alcoolisées,Vins,,
1821 l'authentique - coteaux bourguignons - vin de loire,22.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,Vins de loire
Muscadet Côtes de GrandLieu Sur Lie,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,
Vino,22.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Villa Pereire 2014 Côtes De Provence Vin Rosé,25.0,Boissons,Boissons alcoolisées,Vins,Vins rosés,
Change,58.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
"Moulin de la grange, Pineau des Charentes tres vieux blanc",32.0,Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins français
Vin biodynamique,,Boissons,Boissons alcoolisées,Vins,,
"Champagne AOP, brut",23.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes
Beaujolais Nouveau 2015,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Vin rouge Domaine COSTE MOYNIER Tradition 2019,22.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
vin rouge Patrimonio,31.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Champagne CHARLES VINCENT DEMI-SEC,36.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes
Vin Corbières,31.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Champagne Demoiselle,36.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes
Chateau Coutinel 2011,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,
Champagne demoiselle,23.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes
Bordeaux Moelleux,34.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux
VDP CX Pin BLC Sauvignon,,Boissons,Boissons alcoolisées,Vins,,
Corse,42.0,Boissons,Boissons alcoolisées,Vins,Vins français,Corse
"Expert Club, Ventoux, vin rose, la bouteille de 75",42.0,Boissons,Boissons alcoolisées,Vins,Vins français,Ventoux
Rosé Gris de gris,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
Vin blanc ,25.0,Boissons,Boissons alcoolisées,Vins,Vins blancs,Muscadet
VDP Herault Rose,27.0,Boissons,Boissons alcoolisées,Vins,Vins rosés,
Buzet Rge Expert Club,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Buzet
Merlot 2015,60.0,Boissons,Boissons alcoolisées,Vins,Vins français,Pays d'Oc
Montagne Saint-Emilion,33.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
E Club Bergerac Rouge,34.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bergerac
Rivesaltes vin doux naturel 16%,36.0,Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux
Côtes de Bourg A.O.C. 2017,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux
Côte-du-Rhône 2014,59.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Crémant de Bourgogne,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bourgogne
,23.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes
Brut Dargent,,Boissons,Boissons alcoolisées,Vins,,
Vin rouge AOP Côtes du Rhône Mas de Jallon,46.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Rosé pamplemousse,25.0,Boissons,Boissons alcoolisées,Vins,Vins rosés,Vins aromatisés
ST Emilion GD C Rge B.gra,36.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Châteauneuf-du-Pape,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Châteauneuf-du-Pape
Château l'Hospitalet La Reserve,63.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
Sylvaner BLC E.club,34.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
Coteaux varois en Provence  . Rosé,42.0,Boissons,Boissons alcoolisées,Vins,Vins français,Coteaux Varois en Provence
Champagne brut millésimé,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents
Vino ribera del duero 2016,30.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,Vins espagnols
Moët & Chandon ice imperial,23.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes
Louis Roederer Cristal Champagne 2009,23.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes
Canard-Duchêne CHAMPAGNE,23.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes
Cremant de BOURGOGNE,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bourgogne
Champagne brut reserve Canard-Duchêne,23.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes
Vieux pineau des Charentes,32.0,Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins français
Bourgigne charonnay,34.0,Boissons,Boissons alcoolisées,Vins,Vins français,
Pineau des Charentes rosé,32.0,Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins français
"Vin blanc Viognier VIGNERONS ARDECHOIS, 13.5°",23.0,Boissons,Boissons alcoolisées,Vins,Vins blancs,Boissons sans sucre ajouté
Vin rosé pamplemousse,27.0,Boissons,Boissons alcoolisées,Vins,Vins rosés,Boissons à base de vin
Sablet Côtes du Rhône,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône
Languedoc Mythique 09 75CL,47.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
Vin rouge grande reserve,22.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Bergerac,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bergerac
Sauternes,47.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
Séguret,37.0,Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône
Rosé Dell'estate Delle Venezie,,Boissons,Boissons alcoolisées,Vins,,
Blanc d'Une d'Or,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
Crément de limoux brut,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Crémant de Limoux
Rose pamplemouse,,Boissons,Boissons alcoolisées,Vins,Vins aromatisés,
Pomerol 2015,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Cotes de bourg,31.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Moulin à Vent - 2016,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Moulin-à-Vent
"37,5CL Muscadet Sevres Et Maine Sur Lie Blanc",45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
La Vieille Ferme Luberon Blanc 2015,23.0,Boissons,Boissons alcoolisées,Vins,Vins blancs,
Vin Rouge,25.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Vin blanc de France,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
Blaye - Côte de Bordeaux - 2014,43.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Rivesaltes Ambré,47.0,Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux
Bergerac Rouge,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bergerac
Rosé - Languedoc,46.0,Boissons,Boissons alcoolisées,Vins,Vins rosés,
37.5CL Riesling Blanc 2009,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
Côtes du Rhône - 2018,43.0,Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône
Champagne brut,24.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes
Cotes du rhone,47.0,Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône
Vin rosé IGP Pays d'Oc Cinsault Syrah Le Bosquet,54.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
Châteauneuf-du-Pape - 2016,43.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Mousseux Prosecco doc Col Maestro,,Boissons,Boissons alcoolisées,Vins,Vins effervescents,
Balade cévenole,51.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Blanc magnifique,,Boissons,Boissons alcoolisées,Vins,Vin sans indication géographique,
Caravelle du Roy,37.0,Boissons,Boissons alcoolisées,Vins,Vins français,
Gewurztaminer,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,
2017 Chardonnay Afrique du Sud,,Boissons,Boissons alcoolisées,Vins,Vins d'Afrique du Sud,
Prosecco Villaveroni,,Boissons,Boissons alcoolisées,Vins,,
Sable de camargur,47.0,Boissons,Boissons alcoolisées,Vins,Vins français,Sable de Camargue
Champagne,24.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes
Cabernet d'Anjou - 2018,58.0,Boissons,Boissons alcoolisées,Vins,Vins français,Cabernet d'Anjou
BORDEAUX contrôlée,31.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Charles de courance champagne brut,36.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes
Pinot Noir Grande Réserve Maison Castel,39.0,Boissons,Boissons alcoolisées,Vins,Vins rosés,
Vin mousseux,,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Vins mousseux
Terre d'Anthéa,47.0,Boissons,Boissons alcoolisées,Vins,Vins français,
Pétillant de fruit 100% pomme,57.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Pétillant de fruits
Rosé,62.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
Rosé Griotte,38.0,Boissons,Boissons alcoolisées,Vins,Vins rosés,Vins aromatisés
Chateau Terremale Monbazillac,,Boissons,Boissons alcoolisées,Vins,,
Vin en cubi 3 L,52.0,Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône
Muscat,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Beaumes-de-Venise
Château Guinot,36.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
2019,34.0,Boissons,Boissons alcoolisées,Vins,Vins français,
Crémant,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Crémant d'Alsace
Saumur Champigny,44.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Buzet rouge,31.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Chateau Tour de Bonnet,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
Vino de la Tierra de Castilla  THERESA,,Boissons,Boissons alcoolisées,Vins,,
primitivo puglia,35.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Vin petillant,,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Vins pétillant
Grand vin de Bordeaux : 2016 château prieuré-les-tours,,Boissons,Boissons alcoolisées,Vins,,
Durand poulet,,Boissons,Boissons alcoolisées,Vins,Vin sans indication géographique,
Vin rosé AOC Fronton roc de Breyssac,39.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
Les vins du littoral,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Corbières
"château Boujac tradition 2018, Fronton",36.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,Fronton
Porto,39.0,Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux
,35.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,Vin rouge bio
médoc,35.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Crémant de Loire,60.0,Boissons,Boissons alcoolisées,Vins,Vins français,Crémant de Loire
La Villageoise vin blanc,28.0,Boissons,Boissons alcoolisées,Vins,Vins blancs,
Grenache vin rosé biologique,40.0,Boissons,Boissons alcoolisées,Vins,Vins rosés,
VIN,,Boissons,Boissons alcoolisées,Vins,,
Crement d’alsace,,Boissons,Boissons alcoolisées,Vins,,
75CL Beaujolais Rouge,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,
,35.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
CORSE,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Corse
Mâcon villages A.O.C. 2016,23.0,Boissons,Boissons alcoolisées,Vins,Vins blancs,
Igp Oc Sauvignon Blanc 12.5°,,Boissons,Boissons alcoolisées,Vins,,
Côtes de Bourg AOC (2016),35.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Moulin-à-vent A.O.C. 2017,37.0,Boissons,Boissons alcoolisées,Vins,Vins français,Moulin-à-Vent
vin rosé,62.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
Roussette de Savoie,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
Vin rouge AOP Côtes du Rhône Domaine La Guiberte,59.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Beaumes de Venise,48.0,Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux
Monbazillac,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Monbazillac
Aop Fronton Chene De St-louis 75CL - Vin Rouge,31.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,Fronton
Barbadillo manzanilla de sanlúcar de barrameda,,Boissons,Boissons alcoolisées,Vins,Vins espagnols,es:Manzanilla-Sanlúcar de Barrameda
saumur champigny val de loire,22.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Vin de Bordeaux Graves,59.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
pinot noir,50.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Barbaresco Docg,,Boissons,Boissons alcoolisées,Vins,,
Riesling,,Boissons,Boissons alcoolisées,Vins,Alsace,
Fragolino,,Boissons,Boissons alcoolisées,Vins,,
Vin bordeaux,47.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux
Château Moulin des Nonnes,,Boissons,Boissons alcoolisées,Vins,,
Château Fongaban,47.0,Boissons,Boissons alcoolisées,Vins,Vins français,
,,Boissons,Boissons alcoolisées,Vins,Vins italiens,it:lambrusco dell'emilia
,31.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Brecciarolo,42.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,Vins italiens
Vouvray - brut,33.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vouvray
,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Alsace Grand Cru
Sylvaner - Vieilles Vignes - 2016,43.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vin d'Alsace
Wein 75CL Vin Californie Rose Sierra Valley,25.0,Boissons,Boissons alcoolisées,Vins,Vins rosés,
Le Vin de Merde (Vin des Philosophes),47.0,Boissons,Boissons alcoolisées,Vins,Vins rosés,
clairette de die Brut,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents
Côtes du Rhône - 2016,43.0,Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône
Crémant d'Alsace - ICE Petite Folie - Rosé,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
NV Chateau Puech-Haut Pays D'Oc Le Benjamin 3L Bag In a Barrel,,Boissons,Boissons alcoolisées,Vins,,
Clairette de Die tradition,47.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents
Rivesaltes tuilé,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,
Chateau Ventenac,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Cabardès
Saumur Champigny - 2017,43.0,Boissons,Boissons alcoolisées,Vins,Vins français,Saumur-Champigny
Saint-Emilion - 2017,42.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Roussette de Savoie,43.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
Picpoul de Pinet - 2019,43.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
Cuvée du restaurateur,44.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Chinon - 2018,43.0,Boissons,Boissons alcoolisées,Vins,Vins français,Chinon
vin rose marquis de l'Herme,39.0,Boissons,Boissons alcoolisées,Vins,Vins rosés,
Riesling,43.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vin d'Alsace
château bujan,27.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Côtes du Rhône 2014,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône
"Rose moelleux vin d'Espagne 10,5%",38.0,Boissons,Boissons alcoolisées,Vins,Vins rosés,Vins espagnols
75CL Sancerre Blanc,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Sancerre
martin louis,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Morgon
Esterlin Champagne,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents
Morgon,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Morgon
Grand Cuvée 2017,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Corbières
La Cave d'Augustin Florent,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
Terres nouvelles 2016,,Boissons,Boissons alcoolisées,Vins,,
"Lot de 2 bouteilles de Champagne Brut 12,5° 12,50%",23.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes
Cabernet d'Anjou 2013,47.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
Chablis 2011,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bourgogne
Pineau Des Charentes,43.0,Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins français
Côtes du Rhône villages - La Porte des Vents - 2019,35.0,Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône
Minervois - 2017,58.0,Boissons,Boissons alcoolisées,Vins,Vins français,Minervois
Crozes-Hermitage,43.0,Boissons,Boissons alcoolisées,Vins,Vins français,Crozes-Hermitage
Côtes du Rhône - 2019,42.0,Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône
Encostas Do Bairro,,Boissons,Boissons alcoolisées,Vins,Vins portugais,
vinho verde,,Boissons,Boissons alcoolisées,Vins,Vins portugais,
Cuvée d'Arthus 2013,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
vin rosé Pays d'Oc,34.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
vin saumur champigny,27.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Weißwein - Pinot Gris Hauller,34.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vin d'Alsace
Blayes Côte de Bordeaux 2013,35.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Kriter Blanc de Blancs Brut,,Boissons,Boissons alcoolisées,Vins,,
Vin Les accords,,Boissons,Boissons alcoolisées,Vins,,
Vino Frizzante Prosecco DOC,,Boissons,Boissons alcoolisées,Vins,Vins italiens,Prosecco
Don Simon-wine -fruit-330ml-spain,,Boissons,Boissons alcoolisées,Vins,,
Les calanques,47.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
Crozes Hermitage,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Crozes-Hermitage
Wolfsberger,,Boissons,Boissons alcoolisées,Vins,,
Bordeaux supérieur AOC rouge Chevalier de Landerac,46.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Vin rouge pinot noir,,Boissons,Boissons alcoolisées,Vins,,
Vin rouge de cuisine Côteaux de Peyriac - La Payse,41.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Terra di Nostra,45.0,Boissons,Boissons alcoolisées,Vins,Vins blancs,Vins blancs secs
Bolla Bardolino Chiaretto 2015,,Boissons,Boissons alcoolisées,Vins,,
Vino R. ripasso Valp. docg CL. 75,,Boissons,Boissons alcoolisées,Vins,,
LES CAILLOUX GARD,37.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Bolla Retro Rosso,,Boissons,Boissons alcoolisées,Vins,,
ROSÉ D'ANJOU,53.0,Boissons,Boissons alcoolisées,Vins,Vins rosés,
Château eut du pape,37.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,Vin rouge bio
Bgne Aligot.blc E.club Mi,34.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bourgogne
Ventoux - Excellence - 2017,43.0,Boissons,Boissons alcoolisées,Vins,Vins français,Ventoux
Icône Cuvée Blanche 2015,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents
GRAND VINS DE MÉDITERRANÉE,47.0,Boissons,Boissons alcoolisées,Vins,Vins français,Languedoc
Champ.delagne Tradition R,25.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes
Ciù ciù,22.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,Vin rouge bio
CHEVALIER DE FAUVERT,60.0,Boissons,Boissons alcoolisées,Vins,Vins français,
Vin rose,40.0,Boissons,Boissons alcoolisées,Vins,Vins rosés,
,45.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Blaye cote de bordeaux,34.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux
Vouvray Brut - Predil 2007,41.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vouvray
Rosé,34.0,Boissons,Boissons alcoolisées,Vins,Vins rosés,
Aude Rosé,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Aude
