Departement,S TOTAL,S_AOP,S_IGP,S_VSIG,AOP_Blanc,AOP_Rouge,AOP_Rosé,AOP_VSI / VCI,IGP_Blanc,IGP_RougeI,IGP_Rosé,VSIG_Blanc,VSIG_Rouge,VSIG_Rosé,TOTAL
63 PUY-DE-DOME,405,278,72,55,"1,939","8,881","2,108",0,693,"2,439",439,363,"1,207",397,"18,726"
64 PYRENEES-ATLANTIQUES,"2,499","2,374",46,79,"59,697","30,528","4,923",0,686,"1,172",58,735,"1,401",562,"100,882"
65 HAUTES-PYRENEES,237,206,21,10,"1,398","7,061",202,0,549,401,288,4,93,0,"10,165"
66 PYRENEES-ORIENTALES,"21,084","14,440","5,696",948,"89,375","205,710","126,330",0,"79,357","113,684","85,512","7,787","11,697","6,373","744,234"
67 BAS-RHIN,"6,719","6,705",,14,"492,663","4,242","26,102","12,319",0,0,0,"1,033",64,101,"573,858"
68 HAUT-RHIN,"8,994","8,978",,16,"636,523","7,365","37,949","15,370",0,0,0,"1,335",32,94,"749,397"
69 RHONE,"16,042","15,539",130,373,"127,418","729,246","23,486","2,454","2,074","3,480","1,190","4,659","17,514","7,250","986,163"
70 HAUTE-SAONE,86,,76,10,0,0,0,0,"2,191","1,611",182,279,512,0,"4,805"
71 SAONE-ET-LOIRE,"13,015","12,911",22,82,"571,051","220,073","4,642","25,964",299,293,74,"3,087",671,714,"873,413"
72 SARTHE,189,147,9,34,"4,147","1,360",634,0,67,297,104,524,537,262,"8,193"
73 SAVOIE,"1,945","1,726",96,123,"75,449","26,415","7,039","2,922","4,804","1,288",414,"5,948","1,226","1,155","133,420"
74 HAUTE-SAVOIE,234,147,11,75,"5,313",709,180,0,541,60,26,"3,409","2,149",27,"12,448"
77 SEINE-ET-MARNE,30,30,,,"2,632",0,0,0,0,0,0,0,0,0,"3,084"
79 DEUX-SEVRES,763,696,39,28,"12,643","2,023","28,433","2,002","2,475",383,527,"1,210",315,532,"52,520"
81 TARN,"6,489","2,828","2,854",807,"34,744","82,241","22,911",0,"55,323","122,989","54,071","17,830","30,399","15,333","444,830"
82 TARN-ET-GARONNE,"1,480",697,608,176,0,"21,010","12,908",0,"2,071","21,090","20,335",558,"6,173","3,179","89,702"
83 VAR,"27,835","22,044","5,458",333,"38,559","55,590","869,661",419,"20,073","37,545","188,589","1,377","3,241","8,769","1,276,429"
84 VAUCLUSE,"45,905","35,728","9,052","1,124","87,689","966,732","217,255","12,303","60,290","151,111","278,932","8,496","21,326","6,845","1,858,920"
85 VENDEE,924,526,296,102,"10,720","8,787","9,136",0,"6,543","5,967","7,048","3,101","1,326","3,157","57,581"
86 VIENNE,"1,110",547,420,142,"20,066","4,046","11,335",125,"19,981","4,809","4,877","3,069","1,726","1,560","72,428"
87 HAUTE-VIENNE,6,,6,1,0,0,0,0,34,52,128,13,1,0,241
88 VOSGES,5,,,5,0,0,0,0,0,0,0,0,292,0,292
89 YONNE,"7,763","7,712",17,34,"429,154","38,606","3,927","55,073",834,125,26,"1,015",720,349,"588,524"
95 VAL-D’OISE,0,,,0,0,0,0,0,0,0,0,2,0,0,2
,,,,,,,,,,,,,,,
TOTAUX,"744,812","442,562","193,358","30,939","8,491,935","10,199,853","3,286,896","492,730","3,615,974","5,318,412","3,728,356","1,293,081","932,108","492,248","49,571,234"
